<oov> 1.0	oov
کلیرنگ 1.0	K A L A_E1 R I N_G
کشف 1.0	K A S_H F
کچھی 1.0	K A T_S_H T_S_H I_I1
چھوڑیں 1.0	T_S_H O_O R_R A_Y_N
پورا 1.0	P U_U R A_A
مفکر 1.0	M U F A K K I R
انتخابات 1.0	I N T_D I X A_A B A_A T_D
فیشن 1.0	F A_E1 S_H A N
دولت 1.0	D_D O L A T_D
تحصیلوں 1.0	T_D A H S I_I1 L O_O_N
شیدائی 1.0	S_H A_E1 D_D A_A I_I1
جامعہ 1.0	D_Z A_A M A_Y A_A
جیز 1.0	D_Z A_E1 Z
شاہین 1.0	S_H A_A H I_I1 N
حسینی 1.0	H U S A_E1 N I_I1
روایت 1.0	R I V A_A J A T_D
داخلوں 1.0	D_D A_A X L O_O_N
سوغات 1.0	S O_O G_G A_A T_D
تجربات 1.0	T_D A D_Z R I B A_A T_D
پھیکا 1.0	P_H I_I1 K A_A
حصص 1.0	H I S A S
وزراء 1.0	V U Z A R A_A
دوڑانے 1.0	D_D O R_R A_A N A_Y
فریقین 1.0	F A R I_I1 Q A_E1 N
عقلمندی 1.0	A Q L M A N D_D I_I1
اناڑی 1.0	A N A_A R_R I_I1
پہنچا 1.0	P A H U N T_S1 A_A
گوڈی 1.0	G O_O D I_I1
خدانخواستہ 1.0	X U D_D A_A N A X A_A S T_D A_A
بخیر 1.0	B A X A_E1 R
بناؤں 1.0	B A N A_A U_U_N
ڈال 1.0	D A_A L
نوروز 1.0	N O R U_U Z
تشیع 1.0	T_D A S_H A J J O_O
لیچی 1.0	L I_I1 T_S1 I_I1
وولر 1.0	V U_U L A R
معیاد 1.0	M A_Y A_A D_D
کروفر 1.0	K A R R O_O F A R
پروگریسیو 1.0	P A R O_O G A R A_E1 S I_I1 O_O
فروگزاشت 1.0	F A R O_O G U Z A_A S_H T_D
معیوب 1.0	M A J U_U B
چاول 1.0	T_S1 A_A V A L
محیرالعقول 1.0	M U H A J J I R U U Q U_U L
تعیشات 1.0	T_D A Y J J U S_H A_A T_D
کیے 1.0	K I_I1 A_Y
بعنوان 1.0	B A U N V A_A N
فیچر 1.0	F I_I1 T_S1 A R
کر 1.0	K A R
ذوالجلال 1.0	Z U L D_Z A L A_A L
نتائج 1.0	N A T_D A_A A_Y D_Z
گوبر 1.0	G O_O B A R
بجھی 1.0	B U D_Z_H I_I1
دانشو 1.0	D_D A_A N I S_H O_O
ڈالتے 1.0	D A_A L T_D A_Y
نقشہ 1.0	N A Q S_H A_A
بظاہر 1.0	B A Z A_A H I R
لئیق 1.0	L A I_I1 Q
رائج 1.0	R A_A I D_Z
پہچان 1.0	P A H T_S1 A_A N
پرسوز 1.0	P U R S O_O Z
پستولیں 1.0	P I S T_D O L A_Y_N
نبی 1.0	N A B I_I1
کتابچہ 1.0	K I T_D A_A B T_S1 A_A
مضروب 1.0	M A Z R U_U B
پیشرو 1.0	P A_Y S_H R O
ڈزاسٹر 1.0	D I Z A_A S T A R
سجاد 1.0	S A D_Z D_Z A_A D_D
بلوغت 1.0	B A L U_U G_G A T_D
جھوٹ 1.0	D_Z_H U_U T
تذلیل 1.0	T_D A Z L I_I1 L
خدشہ 1.0	X A D_D S_H A_A
کھیر 1.0	K_H I_I1 R
بنوری 1.0	B A N O_O R I_I1
بطخوں 1.0	B A T_D T_D A X O_O_N
تھیری 1.0	T_D_H A_Y R I_I1
آدھے 1.0	A_A D_D_H A_Y
تکلم 1.0	T_D A K A L L U M
واقعی 1.0	V A_A Q A Y I_I1
مدرسہ 1.0	M A D_D R I S A_A
ویں 1.0	V I_I_N
موثر 1.0	M U A S S A R
باغ 1.0	B A_A G_G
بروز 1.0	B U R U_U Z
فرمایا 1.0	F A R M A_A J A_A
کرو 1.0	K A R O_O
خادم 1.0	X A_A D_D I M
لغو 1.0	L A G_G V
زیرغور 1.0	Z A_Y R A_Y G_G O R
عمیق 1.0	A M I_I1 Q
سلسلے 1.0	S I L S I L A_Y
نصیحت 1.0	N A S I_I1 H A T_D
بار 1.0	B A_A R
بشمول 1.0	B A S_H U M U_U L
مژدہ 1.0	M U Z_Z D_D A_A
ہیئر 1.0	H A_Y A R
پہلی 1.0	P A_E_H H L I_I1
سیاح 1.0	S A_E1 J A_A H
کشمیری 1.0	K A S_H M I_I1 R I_I1
گوشوں 1.0	G O_O S_H O_O_N
راہو 1.0	R A_A H U_U
امرود 1.0	A M R U_U D_D
مخفف 1.0	M U X A F F A F
پارلر 1.0	P A_A R L A R
فرخندہ 1.0	F A R X A N D_D A_A
فہرستیں 1.0	F A_E_H H R I S T_D A_Y_N
اُٹھو 1.0	U T_H O_O
ہندسے 1.0	H I N D_D S A_Y
ٹریبیونل 1.0	T A R A_Y B A_Y J U_U N A L
افسوس 1.0	A F S O_O S
کلیدی 1.0	K A L I_I1 D_D I_I1
حاشیے 1.0	H A_A S_H I_I1 A_Y
گلستان 1.0	G U L I S T_D A_A N
جوہر 1.0	D_Z O H A R
کامیاب 1.0	K A_A M J A_A B
جیومیٹری 1.0	D_Z I_I1 O_O M A_E1 T R I_I1
پیشنگوئی 1.0	P A_Y S_H I N G O_O I_I1
سازوسامان 1.0	S A_A Z O_O S A_A M A_A N
دیوہیکل 1.0	D_D A_Y V H A_E1 K A L
تلاش 1.0	T_D A L A_A S_H
قفس 1.0	Q A F A S
مخالفوں 1.0	M U X A_A L I F O_O_N
ننھے 1.0	N A N_H N_H A_Y
کرنا 1.0	K A R N A_A
دوڑنے 1.0	D_D O_O R_R N A_Y
ٹیکسیشن 1.0	T A_E1 K S A_Y S_H A N
کھڑکی 1.0	K_H I R_R K I_I1
گدھے 1.0	G A D_D_H A_Y
گدڑی 1.0	G U D_D R_R I_I1
مخصوص 1.0	M A X S U_U S
دغا 1.0	D_D A G_G A_A
اُٹھانے 1.0	U T_H A_A N A_Y
برش 1.0	B U R S_H
تھیم 1.0	T_D_H I_I1 M
آج 1.0	A_A D_Z
باد 1.0	B A_A D_D
یادیں 1.0	J A_A D_D A_Y_N
عرب 1.0	A R A B
ڈھونڈ 1.0	D_H U_U N D
گھی 1.0	G_H I_I1
اومیگا 1.0	O_O M A_Y G A_A
نیچے 1.0	N I_I1 T_S1 A_Y
بچایا 1.0	B A T_S1 A_A J A_A
تصفیہ 1.0	T_D A S F I J A_A
بیراج 1.0	B A_E1 R A_A D_Z
آلودگی 1.0	A_A L U_U D_D G I_I1
مشروبات 1.0	M A S_H R U_U B A_A T_D
تشبیہیں 1.0	T_D A S_H B I_I1 H A_Y_N
چکے 1.0	T_S1 U K A_Y
انگریزوں 1.0	A N_G R A_Y Z O_O_N
ابزرور 1.0	A B Z R O_O R
مطمئن 1.0	M U T_D M A I N
علاوہ 1.0	I L A_A V A_A
جناب 1.0	D_Z A N A_A B
صبح 1.0	S U B H
دیگر 1.0	D_D I_I1 G A R
سنبھلی 1.0	S A M B_H L I_I1
نوفل 1.0	N O F A L
تھم 1.0	T_D_H A M
شوشہ 1.0	S_H O_O S_H A_A
ایف 1.0	A_Y F
نگر 1.0	N A G A R
ٹیچنگ 1.0	T I_I1 T_S1 I N_G
میران 1.0	M I_I1 R A_A N
پنکھے 1.0	P A N K_H A_Y
بازوؤں 1.0	B A_A Z U_U O_O_N
ٹیلیفون 1.0	T A_E1 L I_I1 F O_O N
اونچی 1.0	U_U N T_S1 I_I1
اتھلیٹکس 1.0	A T_D_H L I_I1 T I K S
افق 1.0	U F U Q
حکومت 1.0	H U K U_U M A T_D
رپورتاژ 1.0	R A P O_O R T_D A_A Z_Z
اچھی 1.0	A T_S1 T_S_H I_I1
خبریں 1.0	X A B R A_Y_N
ننانوے 1.0	N I N A_A N V A_Y
ہجوں 1.0	H I D_Z D_Z O_O_N
بالغان 1.0	B A_A L I G_G A_A N
رہ 1.0	R A H
روحیں 1.0	R U_U H A_Y_N
سہارے 1.0	S A H A_A R A_Y
فیڈریشن 1.0	F A_E1 D R A_Y S_H A N
جھرنے 1.0	D_Z_H A R N A_Y
مہر 1.0	M A_Y_H H R
چھلکا 1.0	T_S_H I L K A_A
بھید 1.0	B_H A_Y D_D
استاد 1.0	U S T_D A_A D_D
جوزی 1.0	D_Z O_O Z I_I1
معاذ 1.0	M A A_A Z
ملزوم 1.0	M A L Z U_U M
اوپر 1.0	U_U P A R
ابھار 1.0	U B_H A_A R
انشائیہ 1.0	I N S_H A_A I J A_A
مورچے 1.0	M O_O R T_S1 A_Y
بدہضمی 1.0	B A D_D H A Z M I_I1
ماچس 1.0	M A_A T_S1 I S
زیب 1.0	Z A_Y B
مستغرق 1.0	M U S T_D A G_G R A Q
کوچی 1.0	K U_U T_S1 I_I1
چھ 1.0	T_S_H A_Y
فاش 1.0	F A_A S_H
سیٹھی 1.0	S A_Y T_H I_I1
لیا 1.0	L I J A_A
بیداری 1.0	B A_E1 D_D A_A R I_I1
ہچکچاہٹ 1.0	H I T_S1 K I T_S1 A_A H A T
کود 1.0	K U_U D_D
کنیئرڈ 1.0	K A N A_Y A R D
طرزفکر 1.0	T_D A R Z A_Y F I K R
کرایوں 1.0	K I R A_A J O_O_N
شاذ 1.0	S_H A_A Z
زیر 1.0	Z A_Y R
علاقوں 1.0	I L A_A Q O_O_N
ریٹائرڈ 1.0	R I_I1 T A_A A_Y R D
بلبل 1.0	B U L B U L
جھلس 1.0	D_Z_H U L A S
کلوز 1.0	K A L O_O Z
باڑہ 1.0	B A_A R_R A_A
دوجے 1.0	D_D U_U D_Z A_Y
مملکتیں 1.0	M U M L I K A T_D A_Y_N
نظر 1.0	N A Z A R
تغیر 1.0	T_D A G_G A_E1 J U R
اونی 1.0	O_O N I_I1
خوفناک 1.0	X O_O F N A_A K
لاچار 1.0	L A_A T_S1 A_A R
کلیرنس 1.0	K A L I_I1 R A N S
ساگر 1.0	S A_A G A R
پھیلیں 1.0	P_H A_E1 L A_Y_N
فصل 1.0	F A S L
نجف 1.0	N A D_Z A F
متحرک 1.0	M U T_D A H A R R I K
پرائیویٹ 1.0	P A R A_A I_I1 V A_Y T
رجوع 1.0	R U D_Z U_U
لغاری 1.0	L A G_G A_A R I_I1
سلوک 1.0	S U L U_U K
فصلیں 1.0	F A S L A_Y_N
بیرونی 1.0	B A_Y R U_U N I_I1
جھجک 1.0	D_Z_H I D_Z A K
ہیرو 1.0	H I_I1 R O_O
پریشر 1.0	P A R A_Y S_H A R
لٹریچر 1.0	L I T R A_Y T_S1 A R
جیلانی 1.0	D_Z I_I1 L A_A N I_I1
بخشو 1.0	B A X S_H O_O
آ 1.0	A_A
ممالک 1.0	M A M A_A L I K
بہو 1.0	B A H O_O
ریچھوں 1.0	R I_I1 T_S_H O_O_N
محروم 1.0	M A H R U_U M
چھانٹ 1.0	T_S_H A_A N T
ارکان 1.0	A R K A_A N
خضوع 1.0	X U Z U_U
ایل 1.0	A_E1 L
دہی 1.0	D_D A H I_I1
مجلس 1.0	M A D_Z L I S
نمک 1.0	N A M A K
زون 1.0	Z O_O N
کرایا 1.0	K A R A_A J A_A
خلاف 1.0	X I L A_A F
دیباچے 1.0	D_D I_I1 B A_A T_S1 A_Y
کولیسٹرول 1.0	K O_O L A_E1 S T A R O_O L
سوئمنگ 1.0	S U_U I M I N_G
سپاسنامہ 1.0	S I P A_A S N A_A M A_A
ڈھنڈورا 1.0	D_H A N D O_O R A_A
مالدار 1.0	M A_A L D_D A_A R
پریس 1.0	P R A_E1 S
گرہیں 1.0	G I R H A_Y_N
گریں 1.0	G I R A_Y_N
پھنسے 1.0	P_H A N S A_Y
ایکویٹی 1.0	A_E1 K O_O J I T I_I1
داؤ 1.0	D_D A_A O_O
لوڈشیڈنگ 1.0	L O_O D S_H A_Y D I N_G
نواب 1.0	N O V A_A B
شیلٹر 1.0	S_H A_E1 L T A R
بڑے 1.0	B A R_R A_Y
ایڈہاک 1.0	A_E1 D H A_A K
وید 1.0	V A_E1 D_D
پیئں 1.0	P I_I1 A_Y_N
سوک 1.0	S O_O K
ہجے 1.0	H I D_Z D_Z A_Y
پھیریں 1.0	P_H A_Y R A_Y_N
قوتوں 1.0	Q U V V A T_D O_O_N
ذوالجناح 1.0	Z U L D_Z I N A_A
متفقہ 1.0	M U T_D T_D A F I Q A_A
دواؤں 1.0	D_D A V A_A O_O_N
گھنٹہ 1.0	G_H A N T A_A
قوی 1.0	Q A V V I_I1
جلدازجلد 1.0	D_Z A L D_D A Z D_Z A L D_D
ترمیم 1.0	T_D A R M I_I1 M
نمودار 1.0	N U M U_U D_D A_A R
مہلت 1.0	M O_O_H H L A T_D
رحیل 1.0	R A H I_I1 L
اژدھام 1.0	A Z_Z D_D_H A_A M
شہباز 1.0	S_H H B A_A Z
اعادہ 1.0	I A_A D_D A_A
دبیز 1.0	D_D A B I_I1 Z
پیڑی 1.0	P I_I1 R_R I_I1
شگاف 1.0	S_H I G A_A F
دھبے 1.0	D_D_H A B B A_Y
راسخ 1.0	R A_A S I X
ماں 1.0	M A_A_N
نابغہ 1.0	N A_A B I G_G A_A
بوجھ 1.0	B O_O D_Z_H
فول 1.0	F U_U L
استعمال 1.0	I S T_D A_Y M A_A L
تسلیم 1.0	T_D A S L I_I1 M
ڈسچارج 1.0	D I S T_S1 A_A R D_Z
تنسیخ 1.0	T_D A N S I_I1 X
مرغوں 1.0	M U R G_G O_O_N
اعزہ 1.0	A I Z Z A_A
زود 1.0	Z U_U D_D
جَلد 1.0	D_Z A L D_D
ڈائریکٹر 1.0	D A_A I R A_E1 K T A R
سٹیڈیم 1.0	S T A_Y D I A M
نوجوانوں 1.0	N O_O D_Z A V A_A N O_O_N
کوٹھری 1.0	K O_O T_H R I_I1
بازیچہ 1.0	B A_A Z I_I1 T_S1 A_A
مبتلا 1.0	M U B T_D A L A_A
کمشنر 1.0	K A M I S_H N A R
سیکھو 1.0	S I_I1 K_H O_O
ایشیائی 1.0	A_Y S_H I J A_A I_I1
ڈھال 1.0	D_H A_A L
دوسروں 1.0	D_D U_U S R O_O_N
معاشرے 1.0	M U A_A S_H R A_Y
راجن 1.0	R A_A D_Z A N
مرحوم 1.0	M A R H U_U M
بھینٹ 1.0	B_H I_I1 N T
مہربانیوں 1.0	M A_E_H H A R B A_A N I_I1 O_O_N
خوشنودی 1.0	X U S_H N U_U D_D I_I1
اگنے 1.0	U G N A_Y
آبیانہ 1.0	A_A B J A_A N A_A
ایلچی 1.0	A_Y L T_S1 I_I1
ٹریڈنگ 1.0	T A R A_Y D I N_G
بوئیں 1.0	B O_O A_Y_N
شخصیت 1.0	S_H A X S I_I1 J A T_D
ٹرانسپیرنسی 1.0	T A R A_A N S P A_E1 R A N S I_I1
خشخاش 1.0	X A S_H X A_A S_H
ساؤتھ 1.0	S A_A U_U T_D_H
فعلن 1.0	F A_Y L U N
مصروفیات 1.0	M A S R U_U F I J A_A T_D
مرغابیوں 1.0	M U R G_G A_A B I_I1 O_O_N
تہوار 1.0	T_D A_E_H H V A_A R
شیو 1.0	S_H A_Y V
ڈھل 1.0	D_H A L
رہائش 1.0	R A H A_A I S_H
اگر 1.0	A G A R
درج 1.0	D_D A R D_Z
میرون 1.0	M A_E1 R U_U N
ٹھوڑی 1.0	T_H O_O R_R I_I1
عالیشان 1.0	A_A L I_I1 S_H A_A N
آرڈیننس 1.0	A_A R D I_I1 N I N S
انتہاؤں 1.0	I N T_D I H A_A O_O_N
اپیلیں 1.0	A P I_I1 L A_Y_N
سیو 1.0	S I_I1 O_O
تابش 1.0	T_D A_A B I S_H
عظام 1.0	U Z Z A_A M
گھوم 1.0	G_H U_U M
لولی 1.0	L O_O L I_I1
بنفشی 1.0	B A N A F S_H I_I1
چاڈ 1.0	T_S1 A_A D
گڑگڑاہٹ 1.0	G U R_R G A R_R A_A H A T
فقر 1.0	F A Q R
بھگوڑوں 1.0	B_H A G O_O R_R O_O_N
تسخیر 1.0	T_D A S X I_I1 R
لیکن 1.0	L A_Y K I N
ڈیتھ 1.0	D A_E1 T_D_H
جیٹ 1.0	D_Z A_E1 T
ریزروز 1.0	R I_I1 Z A R V Z
کوریج 1.0	K A_A V R A_Y D_Z
تھوہر 1.0	T_D_H O_O H A R
پرچھائیں 1.0	P A R T_S_H A_A I_I_N
روز 1.0	R O_O Z
کھلاڑی 1.0	K_H I L A_A R_R I_I1
بچے 1.0	B A T_S1 A_Y
سمویا 1.0	S A M O_O J A_A
اتھارٹی 1.0	A T_D_H A_A R I T I_I1
پلگ 1.0	P A L A G
انڈسٹری 1.0	I N D A S T R I_I1
خون 1.0	X U_U N
معاشیات 1.0	M U A_A S_H I J A_A T_D
لکھوں 1.0	L I K_H K_H U_U_N
یہودی 1.0	J U H U_U D_D I_I1
چراغاں 1.0	T_S1 A R A_A G_G A_A_N
زور 1.0	Z O_O R
سرونٹ 1.0	S A R V A N T
سوئے 1.0	S O_O A_Y
حویلی 1.0	H A V A_Y L I_I1
تلخ 1.0	T_D A L X
اشفاق 1.0	A S_H F A_A Q
اٹھوا 1.0	U T_H V A_A
لاؤڈ 1.0	L A_A U_U D
میٹھا 1.0	M I_I1 T_H A_A
تاجدار 1.0	T_D A_A D_Z D_D A_A R
آرزو 1.0	A_A R Z U_U
چاہتے 1.0	T_S1 A_A H T_D A_Y
سبزیوں 1.0	S A B Z I_I1 J O_O_N
پہلوٹھی 1.0	P A_E_H H L O_O T_H I_I1
ایلوویرا 1.0	A_E1 L O_O V A_Y R A_A
ذہن 1.0	Z A_Y H N
فاؤل 1.0	F A_A U_U L
توازن 1.0	T_D A V A_A Z U N
جھڑک 1.0	D_Z_H I R_R A K
دلنشیں 1.0	D_D I L N A S_H I_I_N
فقدان 1.0	F U Q D_D A_A N
بستر 1.0	B I S T_D A R
بیٹھا 1.0	B A_E1 T_H A_A
شگوفے 1.0	S_H A G U_U F A_Y
بچّو 1.0	B A T_S1 O_O
قبرستان 1.0	Q A B R I S T_D A_A N
رویے 1.0	R A V A J J A_Y
تنوع 1.0	T_D A N A V V O_O
گذریں 1.0	G U Z R A_Y_N
آنسو 1.0	A_A N S U_U
ایگزیکٹو 1.0	A_E1 G Z A_E1 K I T I V
کیوڑہ 1.0	K A_Y V R_R A_A
ویمنز 1.0	V A_Y M A N Z
افسانے 1.0	A F S A_A N A_Y
الیکڑانکس 1.0	I L A_E1 K T I R A_A N I K S
پاس 1.0	P A_A S
سب 1.0	S A B
بھونچال 1.0	B_H O N T_S1 A_A L
قابل 1.0	Q A_A B I L
بھنڈی 1.0	B_H I N D I_I1
ختم 1.0	X A T_D M
غربت 1.0	G_G U R B A T_D
چہچہاہٹ 1.0	T_S1 A_E_H H T_S1 A H A_A H A T
ستھرے 1.0	S U T_D_H R A_Y
فرقان 1.0	F U R Q A_A N
تھوتھا 1.0	T_D_H O_O T_D_H A_A
لشکر 1.0	L A S_H K A R
وہپ 1.0	V I H P
پی 1.0	P I_I1
ایڈز 1.0	A_Y D Z
جانا 1.0	D_Z A_A N A_A
کھسوٹ 1.0	K_H A S O_O T
گراں 1.0	G A R A_A_N
کڑوے 1.0	K A R_R V A_Y
متاخرین 1.0	M U T_D A A X X A_Y R I_I1 N
بغض 1.0	B U G_G Z
اخراجات 1.0	A X R A_A D_Z A_A T_D
احترام 1.0	I H T_D A_Y R A_A M
پھاڑ 1.0	P_H A_A R_R
ٹیوب 1.0	T I J U_U B
سونے 1.0	S O_O N A_Y
ایرو 1.0	A_E1 R O_O
معیت 1.0	M A I_I1 J A T_D
برسراقتدار 1.0	B A R S A R A_Y I Q T_D I D_D A_A R
مستعد 1.0	M U S T_D A I D_D
ٹریلر 1.0	T I R A_Y L A R
بیوروکریٹس 1.0	B A_E1 O_O R O_O K A R A_Y T S
بھول 1.0	B_H U_U L
راغب 1.0	R A_A G_G I B
بات 1.0	B A_A T_D
لیوا 1.0	L A_Y V A_A
گاڑیاں 1.0	G A_A R_R I J A_A_N
پہاڑی 1.0	P A H A_A R_R I_I1
خانقاہوں 1.0	X A_A N Q A_A H O_O_N
حفیظ 1.0	H A F I_I1 Z
ٹوفل 1.0	T O F I L
عشروں 1.0	A S_H R O_O_N
زبوں 1.0	Z A B U_U_N
اکھنڈ 1.0	A K_H A N D
رہنماؤں 1.0	R A H N U M A_A O_O_N
مجھ 1.0	M U D_Z_H
ہویدا 1.0	H U V A_E1 D_D A_A
رائگاں 1.0	R A_A I G A_A_N
ڈاج 1.0	D A_A D_Z
بادشاہ 1.0	B A_A D_D S_H A_A
سومرو 1.0	S O_O M R O_O
گوبھی 1.0	G O_O B_H I_I1
ویمپ 1.0	V A_E1 M P
حائل 1.0	H A_A A_Y L
مطالبہ 1.0	M U T_D A_A L I B A_A
پیداوار 1.0	P A_E1 D_D A_A V A_A R
ضرورت 1.0	Z A R U_U R A T_D
مونا 1.0	M O_O N A_A
پیروکاروں 1.0	P A_E1 R O_O K A_A R O_O_N
آٹھواں 1.0	A_A T_H V A_A_N
ترقیوں 1.0	T_D A R A Q Q I_I1 O_O_N
کچہری 1.0	K A T_S1 A_E_H H R I_I1
ویڈیوز 1.0	V I_I1 D J U_U Z
بھر 1.0	B_H A R
بنایا 1.0	B A N A_A J A_A
ایشوز 1.0	I_I1 S_H S_H U_U Z
اخبار 1.0	A X B A_A R
کالجز 1.0	K A_A L I D_Z I Z
بائیں 1.0	B A_A I_I_N
ہنگامہ 1.0	H A N_G G A_A M A_A
بیچیں 1.0	B A_Y T_S1 A_Y_N
رہیں 1.0	R A H A_Y_N
بانگ 1.0	B A_A N_G
باؤنڈری 1.0	B A_A U_U N D R I_I1
جید 1.0	D_Z A_E1 J A D_D
کلیم 1.0	K A L A_Y M
تولید 1.0	T_D O L I_I1 D_D
چائلڈ 1.0	T_S1 A_A I L D
متعینہ 1.0	M U T_D A Y A J J A N A_A
شوہر 1.0	S_H O H A R
کامیابیوں 1.0	K A_A M J A_A B I_I1 O_O_N
دھوئیں 1.0	D_D_H O_O A_Y_N
دوراں 1.0	D_D O R A_A_N
عابد 1.0	A_A B I D_D
ہیں 1.0	H A_E_N
عجز 1.0	I D_Z Z
پہنچوں 1.0	P U H N T_S1 U_U_N
فنانس 1.0	F I N A_A N S
گفتگو 1.0	G U F T_D G U_U
ہاؤسنگ 1.0	H A_A U_U S I N_G
مووایبل 1.0	M U_U V A_Y B A L
بولیں 1.0	B O_O L A_Y_N
سیزن 1.0	S I_I1 Z A N
ماضی 1.0	M A_A Z I_I1
گستاخی 1.0	G U S T_D A_A X I_I1
بام 1.0	B A_A M
البتہ 1.0	A L B A T_D T_D A_A
نانگا 1.0	N A_A N_G G A_A
اوجھل 1.0	O_O D_Z_H A L
حیدر 1.0	H A_E1 D_D A R
حادثاتی 1.0	H A_A D_D S A_A T_D I_I1
شیم 1.0	S_H A_Y M
ایک 1.0	A_Y K
فرقہ 1.0	F I R Q A_A
فیض 1.0	F A_E1 Z
ذیشان 1.0	Z I_I1 S_H A_A N
چیلنج 1.0	T_S1 A_E1 L A N D_Z
بائیولوجیکل 1.0	B A_A I_I1 O_O L O_O D_Z I_I1 K A L
ریکارڈ 1.0	R A_Y K A_A R D
لتھڑے 1.0	L I T_D_H R_R A_Y
لڑھک 1.0	L U R_R_H A K
دریچوں 1.0	D_D A R I_I1 T_S1 O_O_N
شاندار 1.0	S_H A_A N D_D A_A R
